"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"random_automata.hoa:184.1-210.7",,2,6,12,12,2,2,2,1,0,"SaG_Skip_Jump","ok",0,0.0806016,2,65,262,372,1,36,34,1,0
"random_automata.hoa:184.1-210.7",,2,6,12,12,2,2,2,1,0,"SaG_Base_AF_Min","ok",0,0.0797527,2,25,62,83,1,6,3,1,0
"random_automata.hoa:184.1-210.7",,2,6,12,12,2,2,2,1,0,"SaG_Skip_AF_Min","ok",0,0.0798556,2,25,62,83,1,6,3,1,0
"random_automata.hoa:184.1-210.7",,2,6,12,12,2,2,2,1,0,"SaG_Jump_AF_Min","ok",0,0.0820187,2,25,62,83,1,6,3,1,0
"random_automata.hoa:184.1-210.7",,2,6,12,12,2,2,2,1,0,"SaG_Skip_Jump_AF_Min","ok",0,0.079631,2,25,62,83,1,6,3,1,0
"random_automata.hoa:211.1-224.7",,2,2,3,3,2,1,1,1,0,"SaG_Base","ok",0,0.0816121,2,13,31,76,1,11,6,1,0
"random_automata.hoa:211.1-224.7",,2,2,3,3,2,1,1,1,0,"SaG_Skip","ok",0,0.096324,2,10,24,62,1,8,6,1,0
"random_automata.hoa:211.1-224.7",,2,2,3,3,2,1,1,1,0,"SaG_Jump","ok",0,0.0813588,2,13,31,76,1,11,6,1,0
"random_automata.hoa:211.1-224.7",,2,2,3,3,2,1,1,1,0,"SaG_Skip_Jump","ok",0,0.0958964,2,10,24,62,1,8,6,1,0
"random_automata.hoa:211.1-224.7",,2,2,3,3,2,1,1,1,0,"SaG_Base_AF_Min","ok",0,0.0868268,2,2,3,8,1,2,0,0,0
"random_automata.hoa:211.1-224.7",,2,2,3,3,2,1,1,1,0,"SaG_Skip_AF_Min","ok",0,0.0861168,2,2,3,8,1,2,0,0,0
"random_automata.hoa:211.1-224.7",,2,2,3,3,2,1,1,1,0,"SaG_Jump_AF_Min","ok",0,0.0817713,2,2,3,8,1,2,0,0,0
"random_automata.hoa:211.1-224.7",,2,2,3,3,2,1,1,1,0,"SaG_Skip_Jump_AF_Min","ok",0,0.0900447,2,2,3,8,1,2,0,0,0
"random_automata.hoa:225.1-252.7",,2,7,12,12,2,2,3,1,0,"SaG_Base","ok",0,0.0998552,2,102,364,552,1,53,36,1,0
"random_automata.hoa:225.1-252.7",,2,7,12,12,2,2,3,1,0,"SaG_Skip","ok",0,0.0810678,2,76,278,434,1,41,36,1,0
"random_automata.hoa:225.1-252.7",,2,7,12,12,2,2,3,1,0,"SaG_Jump","ok",0,0.0836289,2,102,364,552,1,53,36,1,0
"random_automata.hoa:225.1-252.7",,2,7,12,12,2,2,3,1,0,"SaG_Skip_Jump","ok",0,0.0856985,2,76,278,434,1,41,36,1,0
"random_automata.hoa:225.1-252.7",,2,7,12,12,2,2,3,1,0,"SaG_Base_AF_Min","ok",0,0.0936126,2,32,87,120,1,15,7,1,0
"random_automata.hoa:225.1-252.7",,2,7,12,12,2,2,3,1,0,"SaG_Skip_AF_Min","ok",0,0.0853164,2,32,87,120,1,15,7,1,0
"random_automata.hoa:225.1-252.7",,2,7,12,12,2,2,3,1,0,"SaG_Jump_AF_Min","ok",0,0.100338,2,32,87,120,1,15,7,1,0
"random_automata.hoa:225.1-252.7",,2,7,12,12,2,2,3,1,0,"SaG_Skip_Jump_AF_Min","ok",0,0.0866926,2,32,87,120,1,15,7,1,0
"random_automata.hoa:253.1-282.7",,2,6,15,15,2,1,1,1,0,"SaG_Base","ok",0,0.108862,2,265,1292,1488,1,65,107,1,0
"random_automata.hoa:253.1-282.7",,2,6,15,15,2,1,1,1,0,"SaG_Skip","ok",0,0.0903634,2,224,1119,1292,1,51,107,1,0
"random_automata.hoa:253.1-282.7",,2,6,15,15,2,1,1,1,0,"SaG_Jump","ok",0,0.108871,2,265,1292,1488,1,65,107,1,0
"random_automata.hoa:253.1-282.7",,2,6,15,15,2,1,1,1,0,"SaG_Skip_Jump","ok",0,0.110128,2,224,1119,1292,1,51,107,1,0
"random_automata.hoa:253.1-282.7",,2,6,15,15,2,1,1,1,0,"SaG_Base_AF_Min","ok",0,0.169135,2,102,325,356,1,10,3,1,0
"random_automata.hoa:253.1-282.7",,2,6,15,15,2,1,1,1,0,"SaG_Skip_AF_Min","ok",0,0.159419,2,102,325,356,1,10,3,1,0
"random_automata.hoa:253.1-282.7",,2,6,15,15,2,1,1,1,0,"SaG_Jump_AF_Min","ok",0,0.167393,2,102,325,356,1,10,3,1,0
"random_automata.hoa:253.1-282.7",,2,6,15,15,2,1,1,1,0,"SaG_Skip_Jump_AF_Min","ok",0,0.169894,2,102,325,356,1,10,3,1,0
"random_automata.hoa:283.1-304.7",,2,4,9,9,2,1,2,1,0,"SaG_Base","ok",0,0.0783133,2,94,394,508,1,52,33,1,0
"random_automata.hoa:283.1-304.7",,2,4,9,9,2,1,2,1,0,"SaG_Skip","ok",0,0.0881665,2,71,308,404,1,41,33,1,0
"random_automata.hoa:283.1-304.7",,2,4,9,9,2,1,2,1,0,"SaG_Jump","ok",0,0.0958642,2,94,394,508,1,52,33,1,0
"random_automata.hoa:283.1-304.7",,2,4,9,9,2,1,2,1,0,"SaG_Skip_Jump","ok",0,0.0795477,2,71,308,404,1,41,33,1,0
"random_automata.hoa:283.1-304.7",,2,4,9,9,2,1,2,1,0,"SaG_Base_AF_Min","ok",0,0.0826599,2,36,111,131,1,14,3,1,0
"random_automata.hoa:283.1-304.7",,2,4,9,9,2,1,2,1,0,"SaG_Skip_AF_Min","ok",0,0.07841,2,36,111,131,1,14,3,1,0
"random_automata.hoa:283.1-304.7",,2,4,9,9,2,1,2,1,0,"SaG_Jump_AF_Min","ok",0,0.0829932,2,36,111,131,1,14,3,1,0
"random_automata.hoa:283.1-304.7",,2,4,9,9,2,1,2,1,0,"SaG_Skip_Jump_AF_Min","ok",0,0.083123,2,36,111,131,1,14,3,1,0
"random_automata.hoa:305.1-327.7",,2,5,9,9,2,2,2,1,0,"SaG_Base","ok",0,0.0920658,2,55,188,292,1,34,18,1,0
"random_automata.hoa:305.1-327.7",,2,5,9,9,2,2,2,1,0,"SaG_Skip","ok",0,0.0745862,2,36,122,204,1,24,18,1,0
"random_automata.hoa:305.1-327.7",,2,5,9,9,2,2,2,1,0,"SaG_Jump","ok",0,0.0814355,2,55,188,292,1,34,18,1,0
"random_automata.hoa:305.1-327.7",,2,5,9,9,2,2,2,1,0,"SaG_Skip_Jump","ok",0,0.0750591,2,36,122,204,1,24,18,1,0
"random_automata.hoa:305.1-327.7",,2,5,9,9,2,2,2,1,0,"SaG_Base_AF_Min","ok",0,0.0741402,2,15,38,61,1,7,3,1,0
"random_automata.hoa:305.1-327.7",,2,5,9,9,2,2,2,1,0,"SaG_Skip_AF_Min","ok",0,0.0697804,2,15,38,61,1,7,3,1,0
"random_automata.hoa:305.1-327.7",,2,5,9,9,2,2,2,1,0,"SaG_Jump_AF_Min","ok",0,0.0881096,2,15,38,61,1,7,3,1,0
"random_automata.hoa:305.1-327.7",,2,5,9,9,2,2,2,1,0,"SaG_Skip_Jump_AF_Min","ok",0,0.0794033,2,15,38,61,1,7,3,1,0
"random_automata.hoa:328.1-355.7",,2,6,13,13,2,1,1,1,0,"SaG_Base","ok",0,0.135691,2,420,1953,2164,1,173,121,1,0
"random_automata.hoa:328.1-355.7",,2,6,13,13,2,1,1,1,0,"SaG_Skip","ok",0,0.117212,2,322,1579,1754,1,130,121,1,0
"random_automata.hoa:328.1-355.7",,2,6,13,13,2,1,1,1,0,"SaG_Jump","ok",0,0.169157,2,519,2250,2476,1,259,100,1,0
"random_automata.hoa:328.1-355.7",,2,6,13,13,2,1,1,1,0,"SaG_Skip_Jump","ok",0,0.130611,2,320,1487,1657,1,141,100,1,0
"random_automata.hoa:328.1-355.7",,2,6,13,13,2,1,1,1,0,"SaG_Base_AF_Min","ok",0,0.177288,2,139,529,567,1,35,37,1,0
"random_automata.hoa:328.1-355.7",,2,6,13,13,2,1,1,1,0,"SaG_Skip_AF_Min","ok",0,0.159534,2,139,529,567,1,35,37,1,0
"random_automata.hoa:328.1-355.7",,2,6,13,13,2,1,1,1,0,"SaG_Jump_AF_Min","ok",0,0.190583,2,99,367,399,1,17,24,1,0
"random_automata.hoa:328.1-355.7",,2,6,13,13,2,1,1,1,0,"SaG_Skip_Jump_AF_Min","ok",0,0.165611,2,99,367,399,1,17,24,1,0
"random_automata.hoa:356.1-376.7",,2,4,8,8,2,1,1,1,0,"SaG_Base","ok",0,0.0825211,2,116,472,652,1,50,47,1,0
"random_automata.hoa:356.1-376.7",,2,4,8,8,2,1,1,1,0,"SaG_Skip","ok",0,0.0957776,2,91,367,520,1,45,47,1,0
"random_automata.hoa:356.1-376.7",,2,4,8,8,2,1,1,1,0,"SaG_Jump","ok",0,0.0808823,2,105,422,584,1,48,41,1,0
"random_automata.hoa:356.1-376.7",,2,4,8,8,2,1,1,1,0,"SaG_Skip_Jump","ok",0,0.0784696,2,80,297,432,1,43,41,1,0
"random_automata.hoa:356.1-376.7",,2,4,8,8,2,1,1,1,0,"SaG_Base_AF_Min","ok",0,0.0760633,2,19,50,64,1,7,2,1,0
"random_automata.hoa:356.1-376.7",,2,4,8,8,2,1,1,1,0,"SaG_Skip_AF_Min","ok",0,0.0949911,2,19,50,64,1,7,2,1,0
"random_automata.hoa:356.1-376.7",,2,4,8,8,2,1,1,1,0,"SaG_Jump_AF_Min","ok",0,0.0791572,2,17,47,57,1,6,2,1,0
"random_automata.hoa:356.1-376.7",,2,4,8,8,2,1,1,1,0,"SaG_Skip_Jump_AF_Min","ok",0,0.0835228,2,17,47,57,1,6,2,1,0
"random_automata.hoa:377.1-402.7",,2,5,12,12,2,1,3,1,0,"SaG_Base","ok",0,0.109366,2,174,762,948,1,65,63,1,0
"random_automata.hoa:377.1-402.7",,2,5,12,12,2,1,3,1,0,"SaG_Skip","ok",0,0.091031,2,133,612,768,1,45,63,1,0
"random_automata.hoa:377.1-402.7",,2,5,12,12,2,1,3,1,0,"SaG_Jump","ok",0,0.0972239,2,174,762,948,1,65,63,1,0
